condition,stage,scope,metric,value
RANDOM_NOISE,raw_policy,all,across_run_std_mean,0.053798525340971536
RANDOM_NOISE,raw_policy,all,across_run_std_median,0.018698517233133316
RANDOM_NOISE,raw_policy,all,across_run_std_p95,0.160198125988245
RANDOM_NOISE,raw_policy,all,across_run_std_p99,0.24081242457032204
RANDOM_NOISE,raw_policy,all,across_run_std_max,0.2843019664287567
RANDOM_NOISE,raw_policy,all,within_chunk_delta_mean,0.07238512873700281
RANDOM_NOISE,raw_policy,all,within_chunk_delta_median,0.06189626455307007
RANDOM_NOISE,raw_policy,all,within_chunk_delta_p95,0.1477800041437149
RANDOM_NOISE,raw_policy,all,within_chunk_delta_p99,0.2151880955696106
RANDOM_NOISE,raw_policy,all,within_chunk_delta_max,0.4017373323440552
RANDOM_NOISE,raw_policy,all,within_chunk_second_delta_mean,0.08843328828612963
RANDOM_NOISE,raw_policy,all,within_chunk_second_delta_median,0.07643868029117584
RANDOM_NOISE,raw_policy,all,within_chunk_second_delta_p95,0.16964431107044217
RANDOM_NOISE,raw_policy,all,within_chunk_second_delta_p99,0.2491915784776204
RANDOM_NOISE,raw_policy,all,within_chunk_second_delta_max,0.34427347779273987
RANDOM_NOISE,raw_policy,all,oscillation_ratio,0.5417240249098656
RANDOM_NOISE,raw_policy,right_arm,across_run_std_mean,0.014844401637092233
RANDOM_NOISE,raw_policy,right_arm,across_run_std_median,0.014286310411989689
RANDOM_NOISE,raw_policy,right_arm,across_run_std_p95,0.02177411383017898
RANDOM_NOISE,raw_policy,right_arm,across_run_std_p99,0.026158855278044933
RANDOM_NOISE,raw_policy,right_arm,across_run_std_max,0.03887336328625679
RANDOM_NOISE,raw_policy,right_arm,within_chunk_delta_mean,0.02820499902274333
RANDOM_NOISE,raw_policy,right_arm,within_chunk_delta_median,0.026673734188079834
RANDOM_NOISE,raw_policy,right_arm,within_chunk_delta_p95,0.04560247212648391
RANDOM_NOISE,raw_policy,right_arm,within_chunk_delta_p99,0.06015921711921691
RANDOM_NOISE,raw_policy,right_arm,within_chunk_delta_max,0.2145829200744629
RANDOM_NOISE,raw_policy,right_arm,within_chunk_second_delta_mean,0.04786587602769335
RANDOM_NOISE,raw_policy,right_arm,within_chunk_second_delta_median,0.04545849561691284
RANDOM_NOISE,raw_policy,right_arm,within_chunk_second_delta_p95,0.07695644050836563
RANDOM_NOISE,raw_policy,right_arm,within_chunk_second_delta_p99,0.09760428845882403
RANDOM_NOISE,raw_policy,right_arm,within_chunk_second_delta_max,0.3366710841655731
RANDOM_NOISE,raw_policy,right_arm,oscillation_ratio,0.7295434969853575
RANDOM_NOISE,raw_policy,left_arm,across_run_std_mean,0.10391851604517018
RANDOM_NOISE,raw_policy,left_arm,across_run_std_median,0.0954924002289772
RANDOM_NOISE,raw_policy,left_arm,across_run_std_p95,0.21224649399518972
RANDOM_NOISE,raw_policy,left_arm,across_run_std_p99,0.2701129975914955
RANDOM_NOISE,raw_policy,left_arm,across_run_std_max,0.2843019664287567
RANDOM_NOISE,raw_policy,left_arm,within_chunk_delta_mean,0.07111641046445386
RANDOM_NOISE,raw_policy,left_arm,within_chunk_delta_median,0.061271265149116516
RANDOM_NOISE,raw_policy,left_arm,within_chunk_delta_p95,0.1474998354911804
RANDOM_NOISE,raw_policy,left_arm,within_chunk_delta_p99,0.2151880955696106
RANDOM_NOISE,raw_policy,left_arm,within_chunk_delta_max,0.4017373323440552
RANDOM_NOISE,raw_policy,left_arm,within_chunk_second_delta_mean,0.08465408961055801
RANDOM_NOISE,raw_policy,left_arm,within_chunk_second_delta_median,0.0739133358001709
RANDOM_NOISE,raw_policy,left_arm,within_chunk_second_delta_p95,0.16917430236935616
RANDOM_NOISE,raw_policy,left_arm,within_chunk_second_delta_p99,0.24455679610371575
RANDOM_NOISE,raw_policy,left_arm,within_chunk_second_delta_max,0.34427347779273987
RANDOM_NOISE,raw_policy,left_arm,oscillation_ratio,0.36443932411674346
RANDOM_NOISE,raw_policy,gripper,across_run_std_mean,0.014717990839853883
RANDOM_NOISE,raw_policy,gripper,across_run_std_median,0.014612404629588127
RANDOM_NOISE,raw_policy,gripper,across_run_std_p95,0.01853980077430606
RANDOM_NOISE,raw_policy,gripper,across_run_std_p99,0.01941874744370581
RANDOM_NOISE,raw_policy,gripper,across_run_std_max,0.021269893273711205
RANDOM_NOISE,raw_policy,gripper,within_chunk_delta_mean,0.01744692976377448
RANDOM_NOISE,raw_policy,gripper,within_chunk_delta_median,0.01632380485534668
RANDOM_NOISE,raw_policy,gripper,within_chunk_delta_p95,0.03490992337465286
RANDOM_NOISE,raw_policy,gripper,within_chunk_delta_p99,0.04242437630891799
RANDOM_NOISE,raw_policy,gripper,within_chunk_delta_max,0.07202568650245667
RANDOM_NOISE,raw_policy,gripper,within_chunk_second_delta_mean,0.029580900073051454
RANDOM_NOISE,raw_policy,gripper,within_chunk_second_delta_median,0.0276508629322052
RANDOM_NOISE,raw_policy,gripper,within_chunk_second_delta_p95,0.05851973444223404
RANDOM_NOISE,raw_policy,gripper,within_chunk_second_delta_p99,0.07353851348161689
RANDOM_NOISE,raw_policy,gripper,within_chunk_second_delta_max,0.13081735372543335
RANDOM_NOISE,raw_policy,gripper,oscillation_ratio,0.7216117216117216
RANDOM_NOISE,raw_policy,arms,across_run_std_mean,0.059381458841131204
RANDOM_NOISE,raw_policy,arms,across_run_std_median,0.025447892025113106
RANDOM_NOISE,raw_policy,arms,across_run_std_p95,0.16700218692421911
RANDOM_NOISE,raw_policy,arms,across_run_std_p99,0.24208593726158134
RANDOM_NOISE,raw_policy,arms,across_run_std_max,0.2843019664287567
RANDOM_NOISE,raw_policy,arms,within_chunk_delta_mean,0.07225415416974194
RANDOM_NOISE,raw_policy,arms,within_chunk_delta_median,0.061866819858551025
RANDOM_NOISE,raw_policy,arms,within_chunk_delta_p95,0.1477800041437149
RANDOM_NOISE,raw_policy,arms,within_chunk_delta_p99,0.2151880955696106
RANDOM_NOISE,raw_policy,arms,within_chunk_delta_max,0.4017373323440552
RANDOM_NOISE,raw_policy,arms,within_chunk_second_delta_mean,0.08797955871559679
RANDOM_NOISE,raw_policy,arms,within_chunk_second_delta_median,0.07603468000888824
RANDOM_NOISE,raw_policy,arms,within_chunk_second_delta_p95,0.16964431107044217
RANDOM_NOISE,raw_policy,arms,within_chunk_second_delta_p99,0.2491915784776204
RANDOM_NOISE,raw_policy,arms,within_chunk_second_delta_max,0.34427347779273987
RANDOM_NOISE,raw_policy,arms,oscillation_ratio,0.5200851876331056
RANDOM_NOISE,robot_unit,all,across_run_std_mean,0.01955074700701516
RANDOM_NOISE,robot_unit,all,across_run_std_median,0.007659096270799637
RANDOM_NOISE,robot_unit,all,across_run_std_p95,0.0699993159621954
RANDOM_NOISE,robot_unit,all,across_run_std_p99,0.08877467215061187
RANDOM_NOISE,robot_unit,all,across_run_std_max,0.09660695493221283
RANDOM_NOISE,robot_unit,all,within_chunk_delta_mean,0.024718406222456572
RANDOM_NOISE,robot_unit,all,within_chunk_delta_median,0.021480441093444824
RANDOM_NOISE,robot_unit,all,within_chunk_delta_p95,0.049191848933696734
RANDOM_NOISE,robot_unit,all,within_chunk_delta_p99,0.06665362983942026
RANDOM_NOISE,robot_unit,all,within_chunk_delta_max,0.11690796911716461
RANDOM_NOISE,robot_unit,all,within_chunk_second_delta_mean,0.0299937702754202
RANDOM_NOISE,robot_unit,all,within_chunk_second_delta_median,0.027280151844024658
RANDOM_NOISE,robot_unit,all,within_chunk_second_delta_p95,0.0528999112546444
RANDOM_NOISE,robot_unit,all,within_chunk_second_delta_p99,0.07462838768959026
RANDOM_NOISE,robot_unit,all,within_chunk_second_delta_max,0.13374903798103333
RANDOM_NOISE,robot_unit,all,oscillation_ratio,0.4836290206259916
RANDOM_NOISE,robot_unit,right_arm,across_run_std_mean,0.00529296220213707
RANDOM_NOISE,robot_unit,right_arm,across_run_std_median,0.005096033215522766
RANDOM_NOISE,robot_unit,right_arm,across_run_std_p95,0.00883174710907042
RANDOM_NOISE,robot_unit,right_arm,across_run_std_p99,0.010407145796343682
RANDOM_NOISE,robot_unit,right_arm,across_run_std_max,0.011395466513931751
RANDOM_NOISE,robot_unit,right_arm,within_chunk_delta_mean,0.01076059856382357
RANDOM_NOISE,robot_unit,right_arm,within_chunk_delta_median,0.010176926851272583
RANDOM_NOISE,robot_unit,right_arm,within_chunk_delta_p95,0.018046830594539643
RANDOM_NOISE,robot_unit,right_arm,within_chunk_delta_p99,0.023769007623195643
RANDOM_NOISE,robot_unit,right_arm,within_chunk_delta_max,0.06290364265441895
RANDOM_NOISE,robot_unit,right_arm,within_chunk_second_delta_mean,0.018215631279680462
RANDOM_NOISE,robot_unit,right_arm,within_chunk_second_delta_median,0.01709607243537903
RANDOM_NOISE,robot_unit,right_arm,within_chunk_second_delta_p95,0.031158599257469177
RANDOM_NOISE,robot_unit,right_arm,within_chunk_second_delta_p99,0.038209362030029254
RANDOM_NOISE,robot_unit,right_arm,within_chunk_second_delta_max,0.09869301319122314
RANDOM_NOISE,robot_unit,right_arm,oscillation_ratio,0.8500570125427594
RANDOM_NOISE,robot_unit,left_arm,across_run_std_mean,0.037757323064974375
RANDOM_NOISE,robot_unit,left_arm,across_run_std_median,0.03319067880511284
RANDOM_NOISE,robot_unit,left_arm,across_run_std_p95,0.07753781862556935
RANDOM_NOISE,robot_unit,left_arm,across_run_std_p99,0.09224854707717896
RANDOM_NOISE,robot_unit,left_arm,across_run_std_max,0.09660695493221283
RANDOM_NOISE,robot_unit,left_arm,within_chunk_delta_mean,0.024251686777843503
RANDOM_NOISE,robot_unit,left_arm,within_chunk_delta_median,0.021010279655456543
RANDOM_NOISE,robot_unit,left_arm,within_chunk_delta_p95,0.04897084757685661
RANDOM_NOISE,robot_unit,left_arm,within_chunk_delta_p99,0.06665362983942026
RANDOM_NOISE,robot_unit,left_arm,within_chunk_delta_max,0.11690796911716461
RANDOM_NOISE,robot_unit,left_arm,within_chunk_second_delta_mean,0.028198474816357098
RANDOM_NOISE,robot_unit,left_arm,within_chunk_second_delta_median,0.02549949288368225
RANDOM_NOISE,robot_unit,left_arm,within_chunk_second_delta_p95,0.051760715246200545
RANDOM_NOISE,robot_unit,left_arm,within_chunk_second_delta_p99,0.07271550610661487
RANDOM_NOISE,robot_unit,left_arm,within_chunk_second_delta_max,0.13374903798103333
RANDOM_NOISE,robot_unit,left_arm,oscillation_ratio,0.3006705602422669
RANDOM_NOISE,robot_unit,gripper,across_run_std_mean,0.005729977621231228
RANDOM_NOISE,robot_unit,gripper,across_run_std_median,0.005759954918175936
RANDOM_NOISE,robot_unit,gripper,across_run_std_p95,0.008037974266335369
RANDOM_NOISE,robot_unit,gripper,across_run_std_p99,0.008397468989714985
RANDOM_NOISE,robot_unit,gripper,across_run_std_max,0.009404457174241543
RANDOM_NOISE,robot_unit,gripper,within_chunk_delta_mean,0.006803477580855493
RANDOM_NOISE,robot_unit,gripper,within_chunk_delta_median,0.006291389465332031
RANDOM_NOISE,robot_unit,gripper,within_chunk_delta_p95,0.013624900579452514
RANDOM_NOISE,robot_unit,gripper,within_chunk_delta_p99,0.01704655647277832
RANDOM_NOISE,robot_unit,gripper,within_chunk_delta_max,0.02425593137741089
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_mean,0.011520748295717769
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_median,0.010755777359008789
RANDOM_NOISE,robot_unit,gripper,within_chunk_second_delta_p95,0.023592367768287655
