condition,stage,scope,action_index,ratio,eligible_pairs
RANDOM_NOISE,raw_policy,all,0,0.7591145833333334,768
RANDOM_NOISE,raw_policy,all,1,0.7183257918552036,884
RANDOM_NOISE,raw_policy,all,2,0.7389162561576355,812
RANDOM_NOISE,raw_policy,all,3,0.7242178447276941,863
RANDOM_NOISE,raw_policy,all,4,0.6963855421686747,830
RANDOM_NOISE,raw_policy,all,5,0.7571606475716065,803
RANDOM_NOISE,raw_policy,all,6,0.7171597633136094,845
RANDOM_NOISE,raw_policy,all,7,0.31631722880583407,1097
RANDOM_NOISE,raw_policy,all,8,0.44152311876699907,1103
RANDOM_NOISE,raw_policy,all,9,0.3263254113345521,1094
RANDOM_NOISE,raw_policy,all,10,0.3694029850746269,1072
RANDOM_NOISE,raw_policy,all,11,0.36597938144329895,1164
RANDOM_NOISE,raw_policy,all,12,0.36056105610561057,1212
RANDOM_NOISE,raw_policy,all,13,0.3710280373831776,1070
RANDOM_NOISE,raw_policy,all,14,0.7210460772104608,803
RANDOM_NOISE,raw_policy,all,15,0.7221556886227545,835
RANDOM_NOISE,raw_policy,right_arm,0,0.7591145833333334,768
RANDOM_NOISE,raw_policy,right_arm,1,0.7183257918552036,884
RANDOM_NOISE,raw_policy,right_arm,2,0.7389162561576355,812
RANDOM_NOISE,raw_policy,right_arm,3,0.7242178447276941,863
RANDOM_NOISE,raw_policy,right_arm,4,0.6963855421686747,830
RANDOM_NOISE,raw_policy,right_arm,5,0.7571606475716065,803
RANDOM_NOISE,raw_policy,right_arm,6,0.7171597633136094,845
RANDOM_NOISE,raw_policy,left_arm,7,0.31631722880583407,1097
RANDOM_NOISE,raw_policy,left_arm,8,0.44152311876699907,1103
RANDOM_NOISE,raw_policy,left_arm,9,0.3263254113345521,1094
RANDOM_NOISE,raw_policy,left_arm,10,0.3694029850746269,1072
RANDOM_NOISE,raw_policy,left_arm,11,0.36597938144329895,1164
RANDOM_NOISE,raw_policy,left_arm,12,0.36056105610561057,1212
RANDOM_NOISE,raw_policy,left_arm,13,0.3710280373831776,1070
RANDOM_NOISE,raw_policy,gripper,14,0.7210460772104608,803
RANDOM_NOISE,raw_policy,gripper,15,0.7221556886227545,835
RANDOM_NOISE,raw_policy,arms,0,0.7591145833333334,768
RANDOM_NOISE,raw_policy,arms,1,0.7183257918552036,884
RANDOM_NOISE,raw_policy,arms,2,0.7389162561576355,812
RANDOM_NOISE,raw_policy,arms,3,0.7242178447276941,863
RANDOM_NOISE,raw_policy,arms,4,0.6963855421686747,830
RANDOM_NOISE,raw_policy,arms,5,0.7571606475716065,803
RANDOM_NOISE,raw_policy,arms,6,0.7171597633136094,845
RANDOM_NOISE,raw_policy,arms,7,0.31631722880583407,1097
RANDOM_NOISE,raw_policy,arms,8,0.44152311876699907,1103
RANDOM_NOISE,raw_policy,arms,9,0.3263254113345521,1094
RANDOM_NOISE,raw_policy,arms,10,0.3694029850746269,1072
RANDOM_NOISE,raw_policy,arms,11,0.36597938144329895,1164
RANDOM_NOISE,raw_policy,arms,12,0.36056105610561057,1212
RANDOM_NOISE,raw_policy,arms,13,0.3710280373831776,1070
RANDOM_NOISE,robot_unit,all,0,0.8476658476658476,407
RANDOM_NOISE,robot_unit,all,1,0.8724489795918368,196
RANDOM_NOISE,robot_unit,all,2,0.8771929824561403,228
RANDOM_NOISE,robot_unit,all,3,0.9426751592356688,157
RANDOM_NOISE,robot_unit,all,4,0.8009592326139089,417
RANDOM_NOISE,robot_unit,all,5,1.0,39
RANDOM_NOISE,robot_unit,all,6,0.8193548387096774,310
RANDOM_NOISE,robot_unit,all,7,0.27324913892078073,871
RANDOM_NOISE,robot_unit,all,8,0.4189189189189189,444
RANDOM_NOISE,robot_unit,all,9,0.2718579234972678,732
RANDOM_NOISE,robot_unit,all,10,0.23325062034739455,403
RANDOM_NOISE,robot_unit,all,11,0.3463687150837989,895
RANDOM_NOISE,robot_unit,all,12,0.2633279483037157,619
RANDOM_NOISE,robot_unit,all,13,0.30349013657056145,659
RANDOM_NOISE,robot_unit,all,14,0.8187311178247734,331
RANDOM_NOISE,robot_unit,all,15,0.8933333333333333,225
