num_steps,stage,scope,action_index,ratio,eligible_pairs
10,raw_policy,all,0,0.7777777777777778,27
10,raw_policy,all,1,0.6666666666666666,30
10,raw_policy,all,2,0.7777777777777778,27
10,raw_policy,all,3,0.7931034482758621,29
10,raw_policy,all,4,0.8888888888888888,27
10,raw_policy,all,5,0.7857142857142857,28
10,raw_policy,all,6,0.7368421052631579,38
10,raw_policy,all,7,0.40476190476190477,42
10,raw_policy,all,8,0.3684210526315789,38
10,raw_policy,all,9,0.3333333333333333,39
10,raw_policy,all,10,0.5,38
10,raw_policy,all,11,0.30303030303030304,33
10,raw_policy,all,12,0.45,40
10,raw_policy,all,13,0.43333333333333335,30
10,raw_policy,all,14,0.6666666666666666,30
10,raw_policy,all,15,0.6666666666666666,27
10,raw_policy,right_arm,0,0.7777777777777778,27
10,raw_policy,right_arm,1,0.6666666666666666,30
10,raw_policy,right_arm,2,0.7777777777777778,27
10,raw_policy,right_arm,3,0.7931034482758621,29
10,raw_policy,right_arm,4,0.8888888888888888,27
10,raw_policy,right_arm,5,0.7857142857142857,28
10,raw_policy,right_arm,6,0.7368421052631579,38
10,raw_policy,left_arm,7,0.40476190476190477,42
10,raw_policy,left_arm,8,0.3684210526315789,38
10,raw_policy,left_arm,9,0.3333333333333333,39
10,raw_policy,left_arm,10,0.5,38
10,raw_policy,left_arm,11,0.30303030303030304,33
10,raw_policy,left_arm,12,0.45,40
10,raw_policy,left_arm,13,0.43333333333333335,30
10,raw_policy,gripper,14,0.6666666666666666,30
10,raw_policy,gripper,15,0.6666666666666666,27
10,raw_policy,arms,0,0.7777777777777778,27
10,raw_policy,arms,1,0.6666666666666666,30
10,raw_policy,arms,2,0.7777777777777778,27
10,raw_policy,arms,3,0.7931034482758621,29
10,raw_policy,arms,4,0.8888888888888888,27
10,raw_policy,arms,5,0.7857142857142857,28
10,raw_policy,arms,6,0.7368421052631579,38
10,raw_policy,arms,7,0.40476190476190477,42
10,raw_policy,arms,8,0.3684210526315789,38
10,raw_policy,arms,9,0.3333333333333333,39
10,raw_policy,arms,10,0.5,38
10,raw_policy,arms,11,0.30303030303030304,33
10,raw_policy,arms,12,0.45,40
10,raw_policy,arms,13,0.43333333333333335,30
10,robot_unit,all,0,0.8181818181818182,11
10,robot_unit,all,1,0.8181818181818182,11
10,robot_unit,all,2,0.9,10
10,robot_unit,all,3,0.9166666666666666,12
10,robot_unit,all,4,0.8888888888888888,18
10,robot_unit,all,5,nan,0
10,robot_unit,all,6,0.9090909090909091,22
10,robot_unit,all,7,0.375,32
10,robot_unit,all,8,0.2727272727272727,22
10,robot_unit,all,9,0.40625,32
10,robot_unit,all,10,0.2222222222222222,9
10,robot_unit,all,11,0.2222222222222222,27
10,robot_unit,all,12,0.3181818181818182,22
10,robot_unit,all,13,0.35,20
10,robot_unit,all,14,0.8888888888888888,9
10,robot_unit,all,15,0.9,10
10,robot_unit,right_arm,0,0.8181818181818182,11
10,robot_unit,right_arm,1,0.8181818181818182,11
10,robot_unit,right_arm,2,0.9,10
10,robot_unit,right_arm,3,0.9166666666666666,12
10,robot_unit,right_arm,4,0.8888888888888888,18
10,robot_unit,right_arm,5,nan,0
10,robot_unit,right_arm,6,0.9090909090909091,22
10,robot_unit,left_arm,7,0.375,32
10,robot_unit,left_arm,8,0.2727272727272727,22
10,robot_unit,left_arm,9,0.40625,32
10,robot_unit,left_arm,10,0.2222222222222222,9
10,robot_unit,left_arm,11,0.2222222222222222,27
10,robot_unit,left_arm,12,0.3181818181818182,22
10,robot_unit,left_arm,13,0.35,20
10,robot_unit,gripper,14,0.8888888888888888,9
10,robot_unit,gripper,15,0.9,10
10,robot_unit,arms,0,0.8181818181818182,11
10,robot_unit,arms,1,0.8181818181818182,11
10,robot_unit,arms,2,0.9,10
10,robot_unit,arms,3,0.9166666666666666,12
10,robot_unit,arms,4,0.8888888888888888,18
10,robot_unit,arms,5,nan,0
10,robot_unit,arms,6,0.9090909090909091,22
10,robot_unit,arms,7,0.375,32
10,robot_unit,arms,8,0.2727272727272727,22
10,robot_unit,arms,9,0.40625,32
10,robot_unit,arms,10,0.2222222222222222,9
10,robot_unit,arms,11,0.2222222222222222,27
10,robot_unit,arms,12,0.3181818181818182,22
10,robot_unit,arms,13,0.35,20
20,raw_policy,all,0,0.9130434782608695,23
20,raw_policy,all,1,0.7619047619047619,21
20,raw_policy,all,2,0.6666666666666666,24
20,raw_policy,all,3,0.8333333333333334,24
20,raw_policy,all,4,0.8636363636363636,22
20,raw_policy,all,5,0.8148148148148148,27
20,raw_policy,all,6,0.96,25
20,raw_policy,all,7,0.22857142857142856,35
20,raw_policy,all,8,0.2682926829268293,41
20,raw_policy,all,9,0.325,40
20,raw_policy,all,10,0.3225806451612903,31
20,raw_policy,all,11,0.35,40
20,raw_policy,all,12,0.475,40
20,raw_policy,all,13,0.41379310344827586,29
20,raw_policy,all,14,0.625,24
20,raw_policy,all,15,0.7407407407407407,27
20,raw_policy,right_arm,0,0.9130434782608695,23
20,raw_policy,right_arm,1,0.7619047619047619,21
20,raw_policy,right_arm,2,0.6666666666666666,24
20,raw_policy,right_arm,3,0.8333333333333334,24
20,raw_policy,right_arm,4,0.8636363636363636,22
20,raw_policy,right_arm,5,0.8148148148148148,27
20,raw_policy,right_arm,6,0.96,25
20,raw_policy,left_arm,7,0.22857142857142856,35
20,raw_policy,left_arm,8,0.2682926829268293,41
20,raw_policy,left_arm,9,0.325,40
20,raw_policy,left_arm,10,0.3225806451612903,31
20,raw_policy,left_arm,11,0.35,40
20,raw_policy,left_arm,12,0.475,40
20,raw_policy,left_arm,13,0.41379310344827586,29
20,raw_policy,gripper,14,0.625,24
20,raw_policy,gripper,15,0.7407407407407407,27
20,raw_policy,arms,0,0.9130434782608695,23
20,raw_policy,arms,1,0.7619047619047619,21
20,raw_policy,arms,2,0.6666666666666666,24
20,raw_policy,arms,3,0.8333333333333334,24
20,raw_policy,arms,4,0.8636363636363636,22
20,raw_policy,arms,5,0.8148148148148148,27
20,raw_policy,arms,6,0.96,25
20,raw_policy,arms,7,0.22857142857142856,35
20,raw_policy,arms,8,0.2682926829268293,41
20,raw_policy,arms,9,0.325,40
20,raw_policy,arms,10,0.3225806451612903,31
20,raw_policy,arms,11,0.35,40
20,raw_policy,arms,12,0.475,40
20,raw_policy,arms,13,0.41379310344827586,29
20,robot_unit,all,0,0.9,10
20,robot_unit,all,1,0.875,8
20,robot_unit,all,2,1.0,4
20,robot_unit,all,3,1.0,3
20,robot_unit,all,4,1.0,10
20,robot_unit,all,5,nan,0
20,robot_unit,all,6,1.0,12
20,robot_unit,all,7,0.25,32
20,robot_unit,all,8,0.22727272727272727,22
20,robot_unit,all,9,0.25806451612903225,31
20,robot_unit,all,10,0.15384615384615385,13
20,robot_unit,all,11,0.3125,32
20,robot_unit,all,12,0.38461538461538464,26
20,robot_unit,all,13,0.21428571428571427,14
20,robot_unit,all,14,0.875,8
20,robot_unit,all,15,1.0,5
20,robot_unit,right_arm,0,0.9,10
20,robot_unit,right_arm,1,0.875,8
20,robot_unit,right_arm,2,1.0,4
20,robot_unit,right_arm,3,1.0,3
20,robot_unit,right_arm,4,1.0,10
20,robot_unit,right_arm,5,nan,0
20,robot_unit,right_arm,6,1.0,12
20,robot_unit,left_arm,7,0.25,32
20,robot_unit,left_arm,8,0.22727272727272727,22
20,robot_unit,left_arm,9,0.25806451612903225,31
20,robot_unit,left_arm,10,0.15384615384615385,13
20,robot_unit,left_arm,11,0.3125,32
20,robot_unit,left_arm,12,0.38461538461538464,26
20,robot_unit,left_arm,13,0.21428571428571427,14
20,robot_unit,gripper,14,0.875,8
20,robot_unit,gripper,15,1.0,5
20,robot_unit,arms,0,0.9,10
20,robot_unit,arms,1,0.875,8
20,robot_unit,arms,2,1.0,4
20,robot_unit,arms,3,1.0,3
20,robot_unit,arms,4,1.0,10
20,robot_unit,arms,5,nan,0
20,robot_unit,arms,6,1.0,12
20,robot_unit,arms,7,0.25,32
20,robot_unit,arms,8,0.22727272727272727,22
20,robot_unit,arms,9,0.25806451612903225,31
20,robot_unit,arms,10,0.15384615384615385,13
20,robot_unit,arms,11,0.3125,32
20,robot_unit,arms,12,0.38461538461538464,26
20,robot_unit,arms,13,0.21428571428571427,14
40,raw_policy,all,0,0.8947368421052632,19
40,raw_policy,all,1,0.8181818181818182,22
40,raw_policy,all,2,0.6470588235294118,17
40,raw_policy,all,3,0.8666666666666667,15
40,raw_policy,all,4,0.8571428571428571,28
40,raw_policy,all,5,0.9411764705882353,17
40,raw_policy,all,6,0.7727272727272727,22
40,raw_policy,all,7,0.24324324324324326,37
40,raw_policy,all,8,0.29545454545454547,44
40,raw_policy,all,9,0.23684210526315788,38
40,raw_policy,all,10,0.32432432432432434,37
40,raw_policy,all,11,0.3409090909090909,44
40,raw_policy,all,12,0.5,44
40,raw_policy,all,13,0.5357142857142857,28
40,raw_policy,all,14,0.625,24
40,raw_policy,all,15,0.8518518518518519,27
40,raw_policy,right_arm,0,0.8947368421052632,19
40,raw_policy,right_arm,1,0.8181818181818182,22
40,raw_policy,right_arm,2,0.6470588235294118,17
40,raw_policy,right_arm,3,0.8666666666666667,15
40,raw_policy,right_arm,4,0.8571428571428571,28
40,raw_policy,right_arm,5,0.9411764705882353,17
40,raw_policy,right_arm,6,0.7727272727272727,22
40,raw_policy,left_arm,7,0.24324324324324326,37
40,raw_policy,left_arm,8,0.29545454545454547,44
40,raw_policy,left_arm,9,0.23684210526315788,38
40,raw_policy,left_arm,10,0.32432432432432434,37
40,raw_policy,left_arm,11,0.3409090909090909,44
40,raw_policy,left_arm,12,0.5,44
40,raw_policy,left_arm,13,0.5357142857142857,28
40,raw_policy,gripper,14,0.625,24
40,raw_policy,gripper,15,0.8518518518518519,27
40,raw_policy,arms,0,0.8947368421052632,19
40,raw_policy,arms,1,0.8181818181818182,22
40,raw_policy,arms,2,0.6470588235294118,17
40,raw_policy,arms,3,0.8666666666666667,15
40,raw_policy,arms,4,0.8571428571428571,28
40,raw_policy,arms,5,0.9411764705882353,17
40,raw_policy,arms,6,0.7727272727272727,22
40,raw_policy,arms,7,0.24324324324324326,37
40,raw_policy,arms,8,0.29545454545454547,44
40,raw_policy,arms,9,0.23684210526315788,38
40,raw_policy,arms,10,0.32432432432432434,37
40,raw_policy,arms,11,0.3409090909090909,44
40,raw_policy,arms,12,0.5,44
40,raw_policy,arms,13,0.5357142857142857,28
40,robot_unit,all,0,1.0,6
40,robot_unit,all,1,1.0,2
40,robot_unit,all,2,nan,0
40,robot_unit,all,3,1.0,1
40,robot_unit,all,4,1.0,7
40,robot_unit,all,5,nan,0
40,robot_unit,all,6,1.0,5
40,robot_unit,all,7,0.2,25
40,robot_unit,all,8,0.2777777777777778,18
40,robot_unit,all,9,0.3076923076923077,26
40,robot_unit,all,10,0.1,10
40,robot_unit,all,11,0.37142857142857144,35
40,robot_unit,all,12,0.4230769230769231,26
40,robot_unit,all,13,0.23076923076923078,13
40,robot_unit,all,14,0.75,4
40,robot_unit,all,15,0.875,8
40,robot_unit,right_arm,0,1.0,6
40,robot_unit,right_arm,1,1.0,2
40,robot_unit,right_arm,2,nan,0
40,robot_unit,right_arm,3,1.0,1
40,robot_unit,right_arm,4,1.0,7
40,robot_unit,right_arm,5,nan,0
40,robot_unit,right_arm,6,1.0,5
40,robot_unit,left_arm,7,0.2,25
40,robot_unit,left_arm,8,0.2777777777777778,18
40,robot_unit,left_arm,9,0.3076923076923077,26
40,robot_unit,left_arm,10,0.1,10
40,robot_unit,left_arm,11,0.37142857142857144,35
40,robot_unit,left_arm,12,0.4230769230769231,26
40,robot_unit,left_arm,13,0.23076923076923078,13
40,robot_unit,gripper,14,0.75,4
40,robot_unit,gripper,15,0.875,8
40,robot_unit,arms,0,1.0,6
40,robot_unit,arms,1,1.0,2
40,robot_unit,arms,2,nan,0
40,robot_unit,arms,3,1.0,1
40,robot_unit,arms,4,1.0,7
40,robot_unit,arms,5,nan,0
40,robot_unit,arms,6,1.0,5
40,robot_unit,arms,7,0.2,25
40,robot_unit,arms,8,0.2777777777777778,18
40,robot_unit,arms,9,0.3076923076923077,26
40,robot_unit,arms,10,0.1,10
40,robot_unit,arms,11,0.37142857142857144,35
40,robot_unit,arms,12,0.4230769230769231,26
40,robot_unit,arms,13,0.23076923076923078,13
