metric,steps=10,steps=20,steps=40
delta_q_median,0.021495938301086426,0.019144266843795776,0.018510818481445312
delta_q_p90,0.03965020477771759,0.039350607991218575,0.037739682197570804
delta_q_p95,0.04250787794589995,0.0439354807138443,0.04537029266357418
delta_q_p99,0.04850063920021057,0.0467931467294693,0.05424110651016233
delta_q_max,0.04920223355293274,0.04730738699436188,0.05687129497528076
second_delta_q_median,0.02766585350036621,0.02407403290271759,0.023052111268043518
second_delta_q_p90,0.04498633742332459,0.036575353145599364,0.03988262116909028
second_delta_q_p95,0.047820198535919185,0.04087053686380386,0.04288578629493713
second_delta_q_p99,0.05655174985527994,0.04573498487472535,0.04879091858863831
second_delta_q_max,0.06348927319049835,0.04930746555328369,0.050595760345458984
right_oscillation,0.8809523809523809,0.9574468085106383,1.0
left_oscillation,0.3231707317073171,0.27058823529411763,0.3006535947712418
inference_latency_mean_ms,114.5415566667604,210.4325753316516,405.17462633336737
inference_latency_median_ms,114.75014600000577,210.15201700356556,404.29823999875225
inference_latency_min_ms,113.55586299760034,209.8830779941636,402.5038850013516
inference_latency_max_ms,115.31866100267507,211.26263099722564,408.7217539999983
